id,メーカー,車種,自動車タイプ,ボディタイプ,駆動方式,価格帯(万円),排気量(cc),最新モデル,グレード・モデル,先進安全装備,燃費(km/L)電費(Wh/km)水素燃費(km/kg),燃料の種類,自動車税(円),乗車定員,中古相場(万円),サイズ(mm)
49,TOYOYA,カローラスポーツ,普通車,ハッチバック,2WD,2481600~3170200,1797,2025_05,G,Toyota Safety Sense,29.5,レギュラー (HEV),36000,5,108~349,4375×1790×1460
50,TOYOYA,カローラスポーツ,普通車,ハッチバック,2WD,2481600~3170200,1797,2025_05,X,Toyota Safety Sense,30,レギュラー (HEV),36000,5,108~349,4375×1790×1460
51,TOYOYA,カローラツーリング,普通車,ワゴン,2WD,2359500~3416600,1797,2025_05,W×B,Toyota Safety Sense,27.3,レギュラー (HEV),36000,5,95~350,4495×1745×1460
52,TOYOYA,カローラツーリング,普通車,ワゴン,2WD,2359500~3416600,1797,2025_05,G,Toyota Safety Sense,29.3,レギュラー (HEV),36000,5,95~350,4495×1745×1460
53,TOYOYA,カローラツーリング,普通車,ワゴン,2WD,2359500~3416600,1797,2025_05,X,Toyota Safety Sense,29.5,レギュラー (HEV),36000,5,95~350,4495×1745×1460
54,TOYOYA,カローラツーリング,普通車,ワゴン,4WD,2359500~3416600,1797,2025_05,W×B,Toyota Safety Sense,24.9,レギュラー (HEV),36000,5,95~350,4495×1745×1460
55,TOYOYA,カローラツーリング,普通車,ワゴン,4WD,2359500~3416600,1797,2025_05,G,Toyota Safety Sense,27.5,レギュラー (HEV),36000,5,95~350,4495×1745×1460
56,TOYOYA,カローラツーリング,普通車,ワゴン,4WD,2359500~3416600,1797,2025_05,X,Toyota Safety Sense,27.8,レギュラー (HEV),36000,5,95~350,4495×1745×1460
57,TOYOYA,クラウン,普通車,セダン,2WD,7300000~8550000,2487,2023_11,Z (HEV),Toyota Safety Sense,18,レギュラー (HEV),43500,5,529~870,5030×1890×1475
58,TOYOYA,クラウン,普通車,セダン,2WD,7300000~8550000,-,2023_11,Z (FCEV),Toyota Safety Sense,148,水素,25000,5,529~870,5030×1890×1475
59,TOYOYA,クラウンクロスオーバー,普通車,SUV,4WD,5200000~7700000,2393,2024_04,CROSSOVER RS,Toyota Safety Sense,15.7,ハイオク (HEV),43500,5,352~898,4930×1840×1540
60,TOYOYA,クラウンクロスオーバー,普通車,SUV,4WD,5200000~7700000,2487,2024_04,CROSSOVER Z,Toyota Safety Sense,22.2,レギュラー (HEV),43500,5,352~898,4930×1840×1540
61,TOYOYA,クラウンクロスオーバー,普通車,SUV,4WD,5200000~7700000,2487,2024_04,CROSSOVER G,Toyota Safety Sense,22.4,レギュラー (HEV),43500,5,352~898,4930×1840×1540
62,TOYOYA,クラウンエステート,普通車,SUV,4WD,6350000~8200000,2487,2025_11,ESTATE RS,Toyota Safety Sense,20,レギュラー (PHEV),43500,5,542~898,4930×1880×1625
63,TOYOYA,クラウンエステート,普通車,SUV,4WD,6350000~8200000,2487,2025_11,ESTATE Z,Toyota Safety Sense,20.3,レギュラー (HEV),43500,5,542~898,4930×1880×1625
64,TOYOYA,クラウンスポーツ,普通車,SUV,4WD,6350000~8200000,2487,2025_07,SPORT RS,Toyota Safety Sense,20.3,レギュラー (PHEV),43500,5,465~939,4720×1880×1570
65,TOYOYA,クラウンスポーツ,普通車,SUV,4WD,6350000~8200000,2487,2025_07,SPORT Z,Toyota Safety Sense,21.3,レギュラー (HEV),43500,5,465~939,4720×1880×1565
66,TOYOYA,クラウンスポーツ,普通車,SUV,4WD,6350000~8200000,2487,2025_07,SPORT G,Toyota Safety Sense,21.3,レギュラー (HEV),43500,5,465~939,4720×1880×1565
67,TOYOYA,GR86,普通車,クーペ,2WD,2936000~3616000,2387,2024_07,RZ,Toyota Safety Sense,11.7,ハイオク,43500,4,223~860,4265×1775×1310
68,TOYOYA,GR86,普通車,クーペ,2WD(MT),2936000~3616000,2387,2024_07,RZ,Toyota Safety Sense,11.9,ハイオク,43500,4,223~860,4265×1775×1310
69,TOYOYA,GR86,普通車,クーペ,2WD,2936000~3616000,2387,2024_07,SZ,Toyota Safety Sense,11.8,ハイオク,43500,4,223~860,4265×1775×1310
70,TOYOYA,GR86,普通車,クーペ,2WD(MT),2936000~3616000,2387,2024_07,SZ,Toyota Safety Sense,12,ハイオク,43500,4,223~860,4265×1775×1310
71,TOYOYA,GR86,普通車,クーペ,2WD(MT),2936000~3616000,2387,2024_07,RC,Toyota Safety Sense,12,ハイオク,43500,4,223~860,4265×1775×1310
72,TOYOYA,GRカローラ,普通車,ハッチバック,4WD,5680000~5980000,1618,2024_04,RZ (8AT),Toyota Safety Sense,10.4,ハイオク,36000,5,514~1340,4410×1850×1480
73,TOYOYA,GRカローラ,普通車,ハッチバック,4WD(MT),5680000~5980000,1618,2024_04,RZ (6MT),Toyota Safety Sense,12.4,ハイオク,36000,5,514~1340,4410×1850×1480
74,TOYOYA,GRヤリス,普通車,ハッチバック,4WD,3560000~5825000,1618,2024_04,RZ Aero performance package (8AT),Toyota Safety Sense,10.8,ハイオク,36000,4,194~1464,3995×1805×1455
75,TOYOYA,GRヤリス,普通車,ハッチバック,4WD,3560000~5825000,1618,2024_04,"RZ ""High performance"" (8AT)",Toyota Safety Sense,10.8,ハイオク,36000,4,194~1464,3995×1805×1455
76,TOYOYA,GRヤリス,普通車,ハッチバック,4WD,3560000~5825000,1618,2024_04,RC Aero performance package (8AT),Toyota Safety Sense,10.8,ハイオク,36000,4,194~1464,3995×1805×1455
77,TOYOYA,GRヤリス,普通車,ハッチバック,4WD,3560000~5825000,1618,2024_04,RC (8AT),Toyota Safety Sense,10.8,ハイオク,36000,4,194~1464,3995×1805×1455
78,TOYOYA,GRヤリス,普通車,ハッチバック,4WD(MT),3560000~5825000,1618,2024_04,RZ Aero performance package (6MT),Toyota Safety Sense,12.4,ハイオク,36000,4,194~1464,3995×1805×1455
79,TOYOYA,GRヤリス,普通車,ハッチバック,4WD(MT),3560000~5825000,1618,2024_04,"RZ ""High performance"" (6MT)",Toyota Safety Sense,12.4,ハイオク,36000,4,194~1464,3995×1805×1455
80,TOYOYA,GRヤリス,普通車,ハッチバック,4WD(MT),3560000~5825000,1618,2024_04,RC Aero performance package (6MT),Toyota Safety Sense,12.4,ハイオク,36000,4,194~1464,3995×1805×1455
81,TOYOYA,GRヤリス,普通車,ハッチバック,4WD(MT),3560000~5825000,1618,2024_04,RC (6MT),Toyota Safety Sense,12.4,ハイオク,36000,4,194~1464,3995×1805×1455
82,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,2487,2025_06,Z (PHEV),Toyota Safety Sense,20.5,レギュラー (PHEV),43500,5,236~688,4740×1855×1660
83,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,2487,2025_06,G (PHEV),Toyota Safety Sense,20.5,レギュラー (PHEV),43500,5,236~688,4740×1855×1660
84,TOYOYA,ハリアー,普通車,SUV,2WD,3710300~6260100,2487,2025_06,"Z ""Leather Package"" (HEV)",Toyota Safety Sense,22.4,レギュラー (HEV),43500,5,236~688,4740×1855×1660
85,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,2487,2025_06,"Z ""Leather Package"" (HEV)",Toyota Safety Sense,21.7,レギュラー (HEV),43500,5,236~688,4740×1855×1660
86,TOYOYA,ハリアー,普通車,SUV,2WD,3710300~6260100,2487,2025_06,Z (HEV),Toyota Safety Sense,22.7,レギュラー (HEV),43500,5,236~688,4740×1855×1660
87,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,2487,2025_06,Z (HEV),Toyota Safety Sense,22,レギュラー (HEV),43500,5,236~688,4740×1855×1660
88,TOYOYA,ハリアー,普通車,SUV,2WD,3710300~6260100,2487,2025_06,G (HEV),Toyota Safety Sense,22.7,レギュラー (HEV),43500,5,236~688,4740×1855×1660
89,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,2487,2025_06,G (HEV),Toyota Safety Sense,22,レギュラー (HEV),43500,5,236~688,4740×1855×1660
90,TOYOYA,ハリアー,普通車,SUV,2WD,3710300~6260100,1986,2025_06,"Z ""Leather Package"" (GAS)",Toyota Safety Sense,15.6,レギュラー,36000,5,236~688,4740×1855×1660
91,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,1986,2025_06,"Z ""Leather Package"" (GAS)",Toyota Safety Sense,14.8,レギュラー,36000,5,236~688,4740×1855×1660
92,TOYOYA,ハリアー,普通車,SUV,2WD,3710300~6260100,1986,2025_06,Z (GAS),Toyota Safety Sense,15.8,レギュラー,36000,5,236~688,4740×1855×1660
93,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,1986,2025_06,Z (GAS),Toyota Safety Sense,15,レギュラー,36000,5,236~688,4740×1855×1660
94,TOYOYA,ハリアー,普通車,SUV,2WD,3710300~6260100,1986,2025_06,G (GAS),Toyota Safety Sense,15.8,レギュラー,36000,5,236~688,4740×1855×1660
95,TOYOYA,ハリアー,普通車,SUV,4WD,3710300~6260100,1986,2025_06,G (GAS),Toyota Safety Sense,15,レギュラー,36000,5,236~688,4740×1855×1660
96,TOYOYA,ハイエースワゴン,普通車,バン/トラック,2WD,2956600~4060200,2700,2025_02,グランドキャビン (SL/HR),Toyota Safety Sense,8.8,レギュラー,50000,10,94~972,5380×1880×2285
97,TOYOYA,ハイエースワゴン,普通車,バン/トラック,2WD,2956600~4060200,2700,2025_02,GL (L/MR),Toyota Safety Sense,8.8,レギュラー,50000,10,94~972,4840×1880×2105
98,TOYOYA,ハイエースワゴン,普通車,バン/トラック,2WD,2956600~4060200,2700,2025_02,DX (L/MR),Toyota Safety Sense,8.8,レギュラー,50000,10,94~972,4840×1880×2105
99,TOYOYA,ハイエースワゴン,普通車,バン/トラック,4WD,2956600~4060200,2700,2025_02,グランドキャビン (SL/HR),Toyota Safety Sense,8.1,レギュラー,50000,10,94~972,5380×1880×2285
100,TOYOYA,ハイエースワゴン,普通車,バン/トラック,4WD,2956600~4060200,2700,2025_02,GL (L/MR),Toyota Safety Sense,8.1,レギュラー,50000,10,94~972,4840×1880×2105
101,TOYOYA,ハイエースワゴン,普通車,バン/トラック,4WD,2956600~4060200,2700,2025_02,DX (L/MR),Toyota Safety Sense,8.1,レギュラー,50000,10,94~972,4840×1880×2105
102,TOYOYA,ランドクルーザー250,普通車,SUV,4WD,5200000~7350000,2754,2024_04,ZX,Toyota Safety Sense,11,ディーゼル,50000,7,617~1148,4925×1980×1935
103,TOYOYA,ランドクルーザー250,普通車,SUV,4WD,5200000~7350000,2754,2024_04,VX,Toyota Safety Sense,11,ディーゼル,50000,7,617~1148,4925×1980×1935
104,TOYOYA,ランドクルーザー250,普通車,SUV,4WD,5200000~7350000,2693,2024_04,VX (ガソリン),Toyota Safety Sense,7.5,レギュラー,50000,7,617~1148,4925×1980×1935
105,TOYOYA,ランドクルーザー250,普通車,SUV,4WD,5200000~7350000,2754,2024_04,GX,Toyota Safety Sense,11,ディーゼル,50000,5,617~1148,4925×1940×1925
106,TOYOYA,ランドクルーザー300,普通車,SUV,4WD,5252500~8136700,3345,2025_03,ZX (3.3L D/5人),Toyota Safety Sense,9.7,ディーゼル,57000,5,604~2000,4985×1980×1925
107,TOYOYA,ランドクルーザー300,普通車,SUV,4WD,5252500~8136701,3345,2025_03,GR SPORT (3.3L D/5人),Toyota Safety Sense,9.7,ディーゼル,57000,5,604~2000,4965×1990×1925
108,TOYOYA,ランドクルーザー300,普通車,SUV,4WD,5252500~8136702,3444,2025_03,ZX (3.5L G/7人),Toyota Safety Sense,7.9,ハイオク,57000,7,604~2000,4985×1980×1925
109,TOYOYA,ランドクルーザー300,普通車,SUV,4WD,5252500~8136703,3444,2025_03,GR SPORT (3.5L G/7人),Toyota Safety Sense,7.9,ハイオク,57000,7,604~2000,4965×1990×1925
110,TOYOYA,ランドクルーザー300,普通車,SUV,4WD,5252500~8136704,3444,2025_03,VX (3.5L G/7人),Toyota Safety Sense,8,ハイオク,57000,7,604~2000,4985×1980×1925
111,TOYOYA,ランドクルーザー300,普通車,SUV,4WD,5252500~8136705,3444,2025_03,AX (3.5L G/7人),Toyota Safety Sense,8,ハイオク,57000,7,604~2000,4950×1980×1925
112,TOYOYA,ランドクルーザー300,普通車,SUV,4WD,5252500~8136700,3444,2025_03,GX (3.5L G/5人),Toyota Safety Sense,8,ハイオク,57000,5,604~2000,4950×1980×1925
113,TOYOYA,ランドクルーザー70,普通車,SUV,4WD,4800000~4800000,2754,2023_11,AX,Toyota Safety Sense,10.1,ディーゼル,50000,5,758~1070,4890×1870×1920
114,TOYOYA,MIRAI,普通車,セダン,2WD,7414000~8215900,-,2024_12,Z,Toyota Safety Sense,146,水素,25000,5,149~512,4975×1885×1470
115,TOYOYA,MIRAI,普通車,セダン,2WD,7414000~8215900,-,2024_12,G,Toyota Safety Sense,152,水素,25000,5,149~512,4975×1885×1470
116,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1797,2025_09,S-Z (HEV/7人),Toyota Safety Sense,23,レギュラー (HEV),36000,7,193~720,4695×1730×1895
117,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1797,2025_09,S-Z (HEV/7人),Toyota Safety Sense,22,レギュラー (HEV),36000,7,193~720,4695×1730×1925
118,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1797,2025_09,S-G (HEV/7人),Toyota Safety Sense,23,レギュラー (HEV),36000,7,193~720,4695×1730×1895
119,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1797,2025_09,S-G (HEV/7人),Toyota Safety Sense,22,レギュラー (HEV),36000,7,193~720,4695×1730×1925
120,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1797,2025_09,X (HEV/8人),Toyota Safety Sense,23,レギュラー (HEV),36000,8,193~720,4695×1730×1895
121,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1797,2025_09,X (HEV/7人),Toyota Safety Sense,23.4,レギュラー (HEV),36000,7,193~720,4695×1730×1895
122,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1797,2025_09,X (HEV/7人),Toyota Safety Sense,22,レギュラー (HEV),36000,7,193~720,4695×1730×1925
123,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1797,2025_09,X (HEV/8人),Toyota Safety Sense,23.4,レギュラー (HEV),36000,8,193~720,4695×1730×1895
124,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1986,2025_09,S-Z (GAS/7人),Toyota Safety Sense,14.8,レギュラー,36000,7,193~720,4695×1730×1895
125,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1986,2025_09,S-Z (GAS/7人),Toyota Safety Sense,14.1,レギュラー,36000,7,193~720,4695×1730×1925
126,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1986,2025_09,S-G (GAS/7人),Toyota Safety Sense,14.8,レギュラー,36000,7,193~720,4695×1730×1895
127,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1986,2025_09,S-G (GAS/7人),Toyota Safety Sense,14.1,レギュラー,36000,7,193~720,4695×1730×1925
128,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1986,2025_09,X (GAS/8人),Toyota Safety Sense,14.8,レギュラー,36000,8,193~720,4695×1730×1895
129,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1986,2025_09,X (GAS/8人),Toyota Safety Sense,14.1,レギュラー,36000,8,193~720,4695×1730×1925
130,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1986,2025_09,X (GAS/7人),Toyota Safety Sense,15,レギュラー,36000,7,193~720,4695×1730×1895
131,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1986,2025_09,X (GAS/7人),Toyota Safety Sense,14.2,レギュラー,36000,7,193~720,4695×1730×1925
132,TOYOYA,ノア,普通車,ミニバン,2WD,2830300~4149200,1986,2025_09,X (GAS/8人),Toyota Safety Sense,15,レギュラー,36000,8,193~720,4695×1730×1895
133,TOYOYA,ノア,普通車,ミニバン,4WD,2830300~4149200,1986,2025_09,X (GAS/8人),Toyota Safety Sense,14.2,レギュラー,36000,8,193~720,4695×1730×1925
134,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,2WD,992200~1446500,658,2023_09,G“SA III”,スマートアシストⅢ,25,レギュラー,10800,4,35~164,3395×1475×1500
135,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,2WD,992200~1446500,658,2023_09,X“SA III”,スマートアシストⅢ,25,レギュラー,10800,4,35~164,3395×1475×1500
136,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,2WD,992200~1446500,658,2023_09,L“SA III”,スマートアシストⅢ,25,レギュラー,10800,4,35~164,3395×1475×1500
137,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,2WD,992200~1446500,658,2023_09,B“SA III”,スマートアシストⅢ,25,レギュラー,10800,4,35~164,3395×1475×1500
138,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,4WD,992200~1446500,658,2023_09,G“SA III”,スマートアシストⅢ,23.2,レギュラー,10800,4,35~164,3395×1475×1510
139,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,4WD,992200~1446500,658,2023_09,X“SA III”,スマートアシストⅢ,23.2,レギュラー,10800,4,35~164,3395×1475×1510
140,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,4WD,992200~1446500,658,2023_09,L“SA III”,スマートアシストⅢ,23.2,レギュラー,10800,4,35~164,3395×1475×1510
141,TOYOYA,ピクシスエポック,軽自動車,ハッチバック,4WD,992200~1446500,658,2023_09,B“SA III”,スマートアシストⅢ,23.2,レギュラー,10800,4,35~164,3395×1475×1510
142,TOYOYA,ピクシストラック,軽自動車,バン/トラック,2WD(MT),1028500~1408000,658,2021_12,エクストラ (5MT),スマートアシスト,15.6,レギュラー,10800,2,50~393,3395×1475×1780
143,TOYOYA,ピクシストラック,軽自動車,バン/トラック,2WD,1028500~1408000,658,2021_12,エクストラ (CVT),スマートアシスト,16.5,レギュラー,10800,2,50~393,3395×1475×1780
144,TOYOYA,ピクシストラック,軽自動車,バン/トラック,2WD(MT),1028500~1408000,658,2021_12,スタンダード (5MT),スマートアシスト,15.6,レギュラー,10800,2,50~393,3395×1475×1780
145,TOYOYA,ピクシストラック,軽自動車,バン/トラック,2WD,1028500~1408000,658,2021_12,スタンダード (CVT),スマートアシスト,15.8,レギュラー,10800,2,50~393,3395×1475×1780
